Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29778	STREORK	Orkla	Norwegian sea	02.11.2020 11:00	11	0	0	5.744	0.725	0.785	7.883	0.127	4.438	9.379	2254.446	0.014	4.249	0.031	0.029	0.461	26.753	-0.013
29778	STREORK	Orkla	Norwegian sea	07.12.2020 11:30	12	0	0	7.095	0.703	0.831	9.276	0.072	5.016	11.156	1200.489	0.007	3.78	0.016	0.014	0.343	12.593	-0.015
29779	FINEALT	Altaelva	Barents sea	07.01.2020 13:05	1	0	0	8.425	0.696	0.855	9.434	0.105	5.064	13.704	1735.545	0.009	3.878	0.023	0.021	0.346	18.085	-0.015
29779	FINEALT	Altaelva	Barents sea	05.02.2020 11:30	2	0	0	-7.71	0.691	0.823	10.192	0.088	5.284	179.542	1429.537	0.007	3.253	0.018	0.017	0.265	13.847	-0.015
29779	FINEALT	Altaelva	Barents sea	03.03.2020 12:25	3	0	0	10.364	0.694	0.837	9.711	0.094	5.106	14.429	1554.55	0.008	3.487	0.02	0.018	0.304	15.898	-0.015
29779	FINEALT	Altaelva	Barents sea	14.04.2020 14:00	4	0	0	4.505	0.691	0.895	9.384	0.096	5.121	9.328	1584.54	0.009	3.559	0.02	0.019	0.321	16.776	-0.015
29779	FINEALT	Altaelva	Barents sea	04.05.2020 10:45	5	0	0	8.573	0.696	0.834	9.594	0.082	5.067	14.906	1353.301	0.007	3.408	0.018	0.016	0.297	13.781	-0.015
29779	FINEALT	Altaelva	Barents sea	02.06.2020 09:30	6	0	0	4.701	0.716	0.852	7.541	0.137	4.359	7.603	2418.575	0.016	2.396	0.034	0.031	0.274	30.267	-0.013
29779	FINEALT	Altaelva	Barents sea	06.07.2020 09:00	7	0	0	6.959	0.712	0.832	8.079	0.135	4.532	10.3	2352.008	0.014	2.25	0.032	0.03	0.237	27.485	-0.014
29779	FINEALT	Altaelva	Barents sea	03.08.2020 09:55	8	0	0	10.135	0.698	0.84	9.333	0.113	4.984	14.887	1888.726	0.01	2.465	0.025	0.023	0.223	19.841	-0.015
29779	FINEALT	Altaelva	Barents sea	07.09.2020 12:30	9	0	0	10.426	0.694	0.868	9.499	0.109	5.122	15.655	1790.323	0.01	3.193	0.023	0.021	0.283	18.603	-0.015
29779	FINEALT	Altaelva	Barents sea	05.10.2020 10:50	10	0	0	7.528	0.695	0.85	9.476	0.121	5.062	12.385	1998.955	0.011	3.447	0.026	0.024	0.306	20.716	-0.015
29779	FINEALT	Altaelva	Barents sea	02.11.2020 11:35	11	0	0	6.483	0.694	0.858	9.415	0.109	5.072	11.568	1804.243	0.01	3.89	0.023	0.021	0.348	18.862	-0.015
29779	FINEALT	Altaelva	Barents sea	07.12.2020 11:05	12	0	0	13.673	0.699	0.823	9.469	0.111	5.038	16.547	1841.85	0.01	3.687	0.024	0.022	0.327	18.978	-0.015
29782	NOREVEF	Vefsna	Norwegian sea	14.01.2020 10:00	1	0	0	4.669	0.723	0.768	7.498	0.074	4.351	7.59	1318.038	0.008	3.888	0.018	0.017	0.442	16.235	-0.012
29782	NOREVEF	Vefsna	Norwegian sea	07.02.2020 10:10	2	0	0	-6.303	0.71	0.793	9.122	0.055	4.906	201.533	931.754	0.005	3.677	0.012	0.011	0.335	9.725	-0.014
